CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,FIRST_NAME,GENDER_TOTAL_COUNT,GENDER_TOTAL_PERCENTAGE,GENDER_TOTAL_RANK,MEN+_COUNT,MEN+_PERCENTAGE,MEN+_RANK,MEN+_SYMBOL,WOMEN+_COUNT,WOMEN+_PERCENTAGE,WOMEN+_RANK,WOMEN+_SYMBOL
2021,"2021A000011124","01","Country","Canada","GAVIN",13680,0.0459,463,13580,0.0913,220,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GAVYN",275,0.0009,8885,270,0.0018,4148,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GAY",900,0.003,3719,,,,"...",715,0.0048,2353,""
2021,"2021A000011124","01","Country","Canada","GAYATHRI",340,0.0011,7662,,,,"...",340,0.0023,4241,""
2021,"2021A000011124","01","Country","Canada","GAYATRI",280,0.0009,8758,,,,"...",280,0.0019,4898,""
2021,"2021A000011124","01","Country","Canada","GAYE",570,0.0019,5307,,,,"...",515,0.0034,3107,""
2021,"2021A000011124","01","Country","Canada","GAYLE",4500,0.0151,1115,,,,"...",4420,0.0296,596,""
2021,"2021A000011124","01","Country","Canada","GAYLENE",625,0.0021,4933,,,,"...",620,0.0042,2666,""
2021,"2021A000011124","01","Country","Canada","GEAN",380,0.0013,7091,290,0.002,3930,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GEE",290,0.001,8548,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","GEETA",855,0.0029,3849,,,,"...",835,0.0056,2084,""
2021,"2021A000011124","01","Country","Canada","GEETHA",310,0.001,8181,,,,"...",310,0.0021,4548,""
2021,"2021A000011124","01","Country","Canada","GEMMA",4730,0.0159,1068,,,,"...",4595,0.0308,575,""
2021,"2021A000011124","01","Country","Canada","GENA",510,0.0017,5792,,,,"...",485,0.0032,3271,""
2021,"2021A000011124","01","Country","Canada","GENE",2200,0.0074,1871,1945,0.0131,899,"",260,0.0017,5174,""
2021,"2021A000011124","01","Country","Canada","GENESIS",850,0.0029,3872,,,,"...",610,0.0041,2704,""
2021,"2021A000011124","01","Country","Canada","GENET",475,0.0016,6066,,,,"...",400,0.0027,3781,""
2021,"2021A000011124","01","Country","Canada","GENEVA",850,0.0029,3872,,,,"...",840,0.0056,2070,""
2021,"2021A000011124","01","Country","Canada","GENEVIEVE",26790,0.0899,229,,,,"...",26730,0.179,106,""
2021,"2021A000011124","01","Country","Canada","GENNA",380,0.0013,7091,,,,"...",355,0.0024,4128,""
2021,"2021A000011124","01","Country","Canada","GENNARO",515,0.0017,5753,495,0.0033,2650,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GENNY",265,0.0009,9108,,,,"...",,,,"..."
